"","term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"1","Linamarase.Li",0.0147109073969918,0.0147109073969918,1,19.9792204988155,0.100691172373651,0.754294030519468
"2","Pollination",0.19418783540704,0.19418783540704,1,54.9629043746789,1.32914988043734,0.253945918931076
"3","Herbivory",0.281845146211603,0.281845146211603,1,65.9994810638852,1.92913444657211,0.16952230849967
"4","Flwr.date.S",0.000664387572467276,0.000664387572467276,1,68.571455346526,0.00454750762661273,0.946431483366657
"5","Bnr.ht.S",0.339133906852241,0.339133906852241,1,69.794773853064,2.32125658540896,0.132135367739551
"6","Bnr.wdth.S",0.218029123417557,0.218029123417557,1,58.5578648063056,1.49233541181847,0.226749724387685
"7","Infl.S",14.4586139550999,14.4586139550999,1,65.197316533707,98.9643093215816,1.06039217171173e-14
"8","Linamarase.Li:Pollination",0.00817794492374637,0.00817794492374637,1,54.7740505091279,0.055975259700673,0.81385673577771
"9","Linamarase.Li:Herbivory",0.193372783919977,0.193372783919977,1,62.6781411027661,1.32357112940842,0.254322562645155
"10","Linamarase.Li:Flwr.date.S",0.119720221797673,0.119720221797673,1,68.0467978088583,0.819444318717295,0.368536719030878
"11","Pollination:Flwr.date.S",0.444841066749493,0.444841066749493,1,60.8755751216142,3.04478624752346,0.0860432000523534
"12","Linamarase.Li:Bnr.wdth.S",0.193747779391865,0.193747779391865,1,57.0991839250723,1.32613784624513,0.25429265925934
"13","Herbivory:Bnr.wdth.S",0.909520394322032,0.909520394322032,1,57.2767522071346,6.22535866283528,0.0154993503023547
"14","Linamarase.Li:Bnr.ht.S",0.00745471909406502,0.00745471909406502,1,68.8804194256796,0.0510250241566431,0.821958082063872
"15","Herbivory:Bnr.ht.S",0.442042616975686,0.442042616975686,1,56.2574576809034,3.02563180783125,0.0874275356256707
"16","Linamarase.Li:Infl.S",0.370707107065732,0.370707107065732,1,64.0153634249017,2.53736443377557,0.116106445551801
"17","Herbivory:Infl.S",0.985653096100362,0.985653096100362,1,65.8328179368211,6.74646118840764,0.0115770457883594
"18","Linamarase.Li:Pollination:Flwr.date.S",0.0391510524158979,0.0391510524158979,1,61.8759911373154,0.267975676892993,0.606538845203872
"19","Linamarase.Li:Herbivory:Bnr.wdth.S",0.0765559346735158,0.0765559346735158,1,54.4534498979733,0.523999411213289,0.472239125648711
"20","Linamarase.Li:Herbivory:Bnr.ht.S",0.116384345473989,0.116384345473989,1,53.4759971796305,0.796611376543117,0.376107314709906
